Registro_Ensina,Adaptação e Inovação,Capacidade de Execução,Colaboração e Parceria,Comunicação Empática e Mobilizadora,Desenvolvimento Contínuo,Visão Estratégica e Resolução de Problemas
240.159,65%,52%,45%,84%,36%,40%
250.171,95%,98%,74%,23%,96%,39%
240.084,6%,19%,1%,40%,55%,39%
240.136,50%,85%,9%,53%,33%,52%
250.121,97%,86%,59%,98%,59%,70%
250.132,21%,80%,54%,76%,46%,42%
250.070,97%,26%,34%,77%,22%,76%
240.020,55%,15%,58%,77%,29%,48%
240.208,4%,17%,65%,67%,29%,3%
240.180,84%,46%,3%,83%,42%,34%
250.149,42%,44%,27%,81%,29%,34%
250.165,96%,62%,47%,95%,59%,5%
250.049,31%,40%,62%,78%,17%,63%
240.109,9%,34%,35%,58%,63%,40%
240.027,41%,55%,76%,42%,22%,88%
240.104,92%,89%,79%,46%,59%,37%
240.106,61%,40%,27%,44%,7%,45%
240.135,34%,26%,82%,36%,68%,37%
250.091,28%,12%,24%,49%,46%,56%
240.146,73%,34%,58%,35%,1%,17%
250.030,66%,70%,74%,33%,7%,71%
240.090,21%,37%,38%,16%,86%,3%
240.148,78%,3%,92%,36%,89%,45%
240.173,1%,9%,12%,50%,9%,96%
250.090,25%,6%,1%,25%,36%,1%
240.165,3%,34%,15%,16%,63%,27%
250.102,52%,62%,87%,29%,17%,9%
240.005,94%,1%,44%,54%,9%,34%
250.080,43%,51%,53%,88%,13%,87%
250.007,77%,68%,33%,51%,49%,17%
250.047,47%,24%,58%,57%,55%,65%
250.124,44%,37%,6%,13%,78%,88%
250.013,9%,13%,68%,12%,81%,67%
250.056,67%,68%,56%,94%,88%,84%
250.113,47%,4%,1%,74%,17%,35%
250.087,20%,4%,64%,6%,43%,57%
250.150,98%,73%,83%,26%,90%,20%
250.048,66%,46%,68%,20%,49%,30%
250.167,94%,44%,85%,90%,34%,80%
240.002,76%,70%,86%,83%,95%,65%
250.155,16%,55%,20%,69%,9%,89%
250.136,67%,26%,63%,44%,36%,95%
250.086,11%,1%,6%,92%,1%,12%
250.100,12%,26%,29%,73%,29%,9%
250.094,56%,46%,43%,80%,29%,50%
250.157,51%,13%,77%,49%,68%,50%
250.178,68%,6%,31%,97%,2%,52%
240.169,80%,94%,99%,6%,99%,66%
250.154,63%,34%,47%,61%,9%,50%
240.015,49%,75%,1%,1%,9%,2%
240.207,4%,19%,26%,68%,59%,77%
250.053,73%,75%,95%,35%,13%,47%
240.192,11%,2%,26%,44%,46%,9%
250.116,3%,44%,15%,44%,43%,47%
240.016,17%,34%,36%,79%,58%,59%
250.065,58%,9%,52%,66%,78%,44%
240.103,85%,40%,44%,33%,22%,14%
240.081,21%,17%,24%,63%,74%,72%
250.158,7%,55%,35%,11%,3%,14%
250.072,87%,79%,36%,18%,46%,16%
240.089,6%,26%,12%,10%,59%,1%
240.183,24%,90%,17%,25%,86%,36%
240.161,98%,95%,98%,96%,100%,79%
240.121,57%,15%,45%,38%,74%,50%
240.080,49%,60%,73%,84%,17%,49%
250.143,13%,24%,19%,14%,43%,7%
250.089,29%,26%,67%,39%,74%,95%
240.030,41%,86%,80%,43%,81%,42%
240.155,83%,37%,80%,14%,81%,27%
240.010,95%,99%,66%,25%,81%,79%
240.071,47%,62%,48%,16%,49%,80%
240.131,91%,95%,95%,99%,55%,99%
250.027,64%,52%,81%,42%,90%,86%
250.057,1%,37%,33%,18%,36%,85%
240.101,48%,84%,90%,97%,36%,59%
250.105,70%,97%,47%,75%,22%,94%
240.092,89%,24%,6%,55%,7%,82%
250.063,39%,65%,48%,79%,3%,62%
250.037,74%,62%,15%,13%,68%,31%
250.140,99%,55%,61%,5%,74%,89%
250.082,37%,40%,23%,65%,6%,75%
240.143,38%,73%,39%,32%,17%,56%
240.013,35%,86%,9%,48%,68%,8%
240.158,39%,75%,11%,61%,63%,24%
240.156,74%,17%,18%,42%,46%,8%
240.060,29%,46%,43%,71%,49%,42%
250.161,15%,26%,80%,16%,3%,44%
250.129,36%,9%,74%,54%,34%,66%
240.197,46%,26%,66%,80%,93%,55%
250.081,69%,55%,53%,27%,63%,98%
250.164,15%,52%,29%,30%,17%,19%
240.141,59%,52%,3%,89%,74%,62%
240.176,34%,24%,44%,28%,49%,59%
240.152,6%,6%,39%,1%,43%,29%
250.006,35%,6%,71%,71%,55%,76%
240.099,71%,73%,94%,87%,94%,97%
240.205,53%,52%,84%,65%,22%,78%
240.168,30%,50%,50%,83%,63%,12%
240.006,52%,70%,30%,38%,22%,27%
240.170,79%,92%,88%,63%,13%,68%
240.066,12%,70%,14%,67%,68%,68%
240.004,10%,90%,67%,18%,63%,37%
250.118,19%,73%,8%,1%,36%,4%
250.084,86%,9%,40%,74%,36%,71%
250.122,33%,80%,51%,61%,55%,48%
240.087,56%,17%,25%,37%,17%,45%
240.055,18%,2%,12%,6%,86%,83%
240.076,80%,40%,74%,61%,22%,59%
250.093,89%,95%,20%,31%,6%,12%
240.149,31%,26%,68%,33%,43%,72%
240.211,53%,34%,4%,71%,63%,25%
240.075,42%,79%,70%,93%,78%,68%
250.033,33%,40%,3%,11%,59%,90%
250.071,38%,55%,83%,24%,68%,25%
240.031,84%,92%,99%,86%,95%,99%
240.125,35%,13%,34%,6%,1%,33%
250.011,17%,9%,23%,34%,49%,74%
250.017,40%,55%,17%,6%,6%,12%
240.105,20%,65%,86%,94%,81%,57%
240.172,93%,85%,70%,24%,78%,84%
250.020,18%,21%,40%,10%,15%,21%
240.038,99%,65%,92%,47%,93%,92%
250.055,90%,13%,53%,53%,36%,2%
240.102,93%,65%,98%,98%,90%,92%
240.132,5%,9%,9%,3%,9%,20%
250.152,76%,46%,96%,47%,88%,92%
