Registro_Ensina,Adaptação e Inovação_Auto,Capacidade de Execução_Auto,Colaboração e Parceria_Auto,Comunicação Empática_Auto,Desenvolvimento Contínuo_Auto,Visão Estratégica_Auto,Desenvolvimento Contínuo_Terc,Visão Estratégica_Terc,Colaboração e Parceria_Terc,Adaptação e Inovação_Terc,Capacidade de Execução_Terc,Comunicação Empática_Terc,Turma_Ensina,Polo_Ensina,Raça_Ensina,Gênero_Ensina,Grau Acadêmico_Ensina,Gap_Desenvolvimento Contínuo,Gap_Visão Estratégica,Gap_Colaboração e Parceria,Gap_Adaptação e Inovação,Gap_Capacidade de Execução,Gap_Comunicação Empática
240.085,0.51,0.86,0.36,0.5,0.68,0.17,0.84,0.97,0.81,0.9,1.0,0.97,2024,Campo Grande,Branca,Mulher Cisgênero,Licenciatura,-0.16,-0.8,-0.45,-0.39,-0.14,-0.47
240.046,0.59,0.46,0.71,0.68,0.74,0.16,0.53,0.56,0.64,0.53,0.72,0.62,2024,Caruaru,Parda,Mulher Cisgênero,Licenciatura,0.21,-0.4,0.07,0.06,-0.26,0.06
250.079,0.81,0.26,0.3,0.63,0.29,0.3,0.81,0.88,0.8,0.84,0.82,0.88,2025,Caruaru,Parda,Mulher Cisgênero,Licenciatura,-0.52,-0.58,-0.5,-0.03,-0.56,-0.25
240.054,0.02,0.04,0.42,0.57,0.34,0.17,0.78,0.84,0.75,0.88,0.78,0.75,2024,São Luís,Parda,Homem Cisgênero,Bacharelado,-0.44,-0.67,-0.33,-0.86,-0.74,-0.18
240.195,0.83,0.4,0.04,0.75,0.03,0.63,0.62,0.72,0.64,0.73,0.75,0.78,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado,-0.59,-0.09,-0.6,0.1,-0.35,-0.03
250.163,0.77,0.52,0.65,0.93,0.97,0.35,0.86,0.94,0.92,1.0,0.97,1.0,2025,Vitória,Parda,Mulher Cisgênero,Bacharelado e Licenciatura,0.11,-0.59,-0.27,-0.23,-0.45,-0.07
240.024,0.26,0.84,0.78,0.89,0.9,0.81,0.94,0.94,0.9,0.94,0.97,0.91,2024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado,-0.04,-0.13,-0.12,-0.68,-0.13,-0.02
250.112,0.8,1.0,0.36,0.02,0.22,0.68,0.75,0.75,0.69,0.75,0.66,0.66,2025,Luziânia,Branca,Homem Cisgênero,Sem Informação,-0.53,-0.07,-0.33,0.05,0.34,-0.64
250.083,0.68,0.98,0.97,0.7,0.78,0.86,0.81,0.97,0.97,1.0,0.91,0.84,2025,Cuiabá,Branca,Homem Cisgênero,Licenciatura,-0.03,-0.11,0.0,-0.32,0.07,-0.14
240.059,0.61,0.75,0.31,0.21,0.29,0.23,0.78,0.81,0.84,0.78,0.68,0.78,2024,São Luís,Parda,Mulher Cisgênero,Bacharelado,-0.49,-0.58,-0.53,-0.17,0.07,-0.57
240.151,0.9,0.92,0.62,0.52,0.97,0.98,0.34,0.5,0.56,0.6,0.56,0.68,2024,Campo Grande,Preta,Mulher Cisgênero,Bacharelado,0.63,0.48,0.06,0.3,0.36,-0.16
240.193,0.71,0.51,0.18,0.06,0.15,0.59,0.84,0.78,0.9,0.88,0.84,0.94,2024,Cuiabá,Branca,Mulher Cisgênero,Bacharelado,-0.69,-0.19,-0.72,-0.17,-0.33,-0.88
250.052,0.45,0.03,0.2,0.59,0.03,0.04,0.8,0.84,0.92,0.84,0.81,0.81,2025,Vitória,Parda,Homem Cisgênero,Licenciatura,-0.77,-0.8,-0.72,-0.39,-0.78,-0.22
240.097,0.54,0.75,0.57,0.66,0.49,0.57,0.75,0.75,0.88,0.69,0.91,0.78,2024,Campo Grande,Branca,Homem Cisgênero,Bacharelado,-0.26,-0.18,-0.31,-0.15,-0.16,-0.12
240.036,0.88,0.75,0.9,0.88,0.88,0.23,1.0,1.0,1.0,1.0,1.0,1.0,2024,Campo Grande,Parda,Homem Cisgênero,Licenciatura,-0.12,-0.77,-0.1,-0.12,-0.25,-0.12
250.076,0.79,0.55,0.26,0.15,0.49,0.31,0.75,0.66,0.86,0.84,0.75,0.75,2025,Caruaru,Branca,Mulher Cisgênero,Licenciatura,-0.26,-0.35,-0.6,-0.05,-0.2,-0.6
240.204,0.62,0.26,0.94,0.92,0.22,0.56,0.75,0.94,0.94,0.97,0.97,0.84,2024,Águas Lindas de Goiás,Preta,Mulher Cisgênero,Licenciatura,-0.53,-0.38,0.0,-0.35,-0.71,0.08
240.115,0.14,0.62,0.48,0.21,0.22,0.26,0.72,0.62,0.82,0.78,0.86,0.88,2024,Caruaru,Sem Informação,Mulher Cisgênero,Tecnólogo,-0.5,-0.36,-0.34,-0.64,-0.24,-0.67
240.15,0.65,0.79,0.42,0.03,0.68,0.97,1.0,1.0,1.0,1.0,1.0,1.0,2024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado,-0.32,-0.03,-0.58,-0.35,-0.21,-0.97
240.072,0.59,0.8,0.93,0.41,0.43,0.49,1.0,1.0,0.97,1.0,1.0,1.0,2024,Campo Grande,Parda,Mulher Cisgênero,Licenciatura,-0.57,-0.51,-0.04,-0.41,-0.2,-0.59
250.146,0.3,0.26,0.85,0.9,0.78,0.85,0.54,0.75,0.62,0.81,0.62,0.6,2025,Águas Lindas de Goiás,Parda,Mulher Cisgênero,Bacharelado,0.24,0.1,0.23,-0.51,-0.36,0.3
250.159,0.22,0.95,0.5,0.86,0.59,0.93,0.88,0.77,0.79,0.88,0.78,0.75,2025,Caruaru,Branca,Homem Cisgênero,Bacharelado,-0.29,0.16,-0.29,-0.66,0.17,0.11
240.2,0.7,0.26,0.79,0.72,0.94,0.74,0.68,0.88,0.72,0.84,0.9,0.68,2024,Vitória,Parda,Mulher Cisgênero,Licenciatura,0.26,-0.14,0.07,-0.14,-0.64,0.04
250.05,0.57,0.69,0.97,0.99,0.68,1.0,0.5,0.72,0.59,0.72,0.68,0.46,2025,Luziânia,Parda,Homem Cisgênero,Bacharelado,0.18,0.28,0.38,-0.15,0.01,0.53
250.138,0.29,0.65,0.13,0.26,0.17,0.07,0.93,1.0,1.0,1.0,0.97,0.97,2025,Vitória,Parda,Homem Cisgênero,Bacharelado,-0.76,-0.93,-0.87,-0.71,-0.32,-0.71
250.142,0.45,0.06,0.56,0.3,0.49,0.54,0.91,0.81,0.81,0.75,0.62,0.78,2025,Cuiabá,Preta,Homem Cisgênero,Licenciatura,-0.42,-0.27,-0.25,-0.3,-0.56,-0.48
240.188,0.24,0.55,0.89,0.21,0.74,0.09,0.84,0.88,0.97,0.9,0.91,0.91,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado,-0.1,-0.79,-0.08,-0.66,-0.36,-0.7
250.125,0.12,0.46,0.74,0.03,0.36,0.21,0.84,0.9,0.84,0.88,0.84,0.9,2025,Águas Lindas de Goiás,Branca,Homem Cisgênero,Bacharelado,-0.48,-0.69,-0.1,-0.76,-0.38,-0.87
240.209,0.84,0.26,0.59,0.21,0.29,0.4,0.75,0.88,0.75,0.9,0.9,0.9,2024,Cuiabá,Parda,Homem Cisgênero,Licenciatura,-0.46,-0.48,-0.16,-0.06,-0.64,-0.69
250.166,0.82,0.6,0.4,0.58,0.36,0.32,0.43,0.38,0.47,0.38,0.44,0.28,2025,Caruaru,Branca,Homem Cisgênero,Bacharelado,-0.07,-0.06,-0.07,0.44,0.16,0.3
250.099,0.08,0.65,0.06,0.09,0.49,0.91,0.84,0.84,0.72,0.84,0.72,0.94,2025,Vitória,Branca,Mulher Cisgênero,Licenciatura,-0.35,0.07,-0.66,-0.76,-0.07,-0.85
240.186,0.59,0.21,0.22,0.7,0.59,0.9,0.84,0.88,0.82,0.88,0.84,0.78,2024,Luziânia,Branca,Homem Cisgênero,Bacharelado,-0.25,0.02,-0.6,-0.29,-0.63,-0.08
240.029,0.08,0.8,0.88,0.47,0.9,0.07,0.97,1.0,0.97,1.0,1.0,0.97,2024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado,-0.07,-0.93,-0.09,-0.92,-0.2,-0.5
240.159,0.65,0.52,0.45,0.84,0.36,0.4,0.96,1.0,0.92,1.0,0.97,1.0,2024,Vitória,Branca,Homem Cisgênero,Bacharelado,-0.6,-0.6,-0.47,-0.35,-0.45,-0.16
250.171,0.95,0.98,0.74,0.23,0.96,0.39,0.57,0.59,0.74,0.66,0.66,0.58,2025,Vitória,Branca,Homem Cisgênero,Bacharelado,0.39,-0.2,0.0,0.29,0.32,-0.35
240.084,0.06,0.19,0.01,0.4,0.55,0.39,0.75,0.78,0.81,0.72,0.75,0.75,2024,Vitória,Sem Informação,Mulher Cisgênero,Bacharelado e Licenciatura,-0.2,-0.39,-0.8,-0.66,-0.56,-0.35
240.136,0.5,0.85,0.09,0.53,0.33,0.52,0.78,0.84,0.81,0.84,0.78,0.81,2024,Petrolina,Parda,Homem Cisgênero,Bacharelado,-0.45,-0.32,-0.72,-0.34,0.07,-0.28
250.121,0.97,0.86,0.59,0.98,0.59,0.7,0.81,0.88,0.88,0.88,0.9,0.9,2025,Caruaru,Branca,Mulher Cisgênero,Bacharelado,-0.22,-0.18,-0.29,0.09,-0.04,0.08
240.208,0.04,0.17,0.65,0.67,0.29,0.03,0.88,0.9,0.91,0.94,0.94,0.97,2024,Vitória,Preta,Mulher Cisgênero,Licenciatura,-0.59,-0.87,-0.26,-0.9,-0.77,-0.3
240.18,0.84,0.46,0.03,0.83,0.42,0.34,0.78,0.88,0.88,0.88,0.78,0.81,2024,Águas Lindas de Goiás,Preta,Homem Cisgênero,Bacharelado,-0.36,-0.54,-0.85,-0.04,-0.32,0.02
250.149,0.42,0.44,0.27,0.81,0.29,0.34,0.78,0.84,0.78,0.88,0.88,0.88,2025,Vitória,Branca,Homem Cisgênero,Bacharelado,-0.49,-0.5,-0.51,-0.46,-0.44,-0.07
250.165,0.96,0.62,0.47,0.95,0.59,0.05,0.75,0.69,0.94,0.78,0.68,0.78,2025,Petrolina,Branca,Mulher Cisgênero,Bacharelado,-0.16,-0.64,-0.47,0.18,-0.06,0.17
250.049,0.31,0.4,0.62,0.78,0.17,0.63,0.81,0.75,0.94,0.84,0.75,0.68,2025,Caruaru,Amarela,Homem Cisgênero,Bacharelado,-0.64,-0.12,-0.32,-0.53,-0.35,0.1
240.109,0.09,0.34,0.35,0.58,0.63,0.4,0.9,0.97,0.91,0.97,1.0,0.94,2024,Vitória,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,-0.27,-0.57,-0.56,-0.88,-0.66,-0.36
240.027,0.41,0.55,0.76,0.42,0.22,0.88,0.8,0.84,0.94,0.68,0.72,0.97,2024,Vitória,Sem Informação,Mulher Cisgênero,Licenciatura,-0.58,0.04,-0.18,-0.27,-0.17,-0.55
240.104,0.92,0.89,0.79,0.46,0.59,0.37,0.97,0.97,0.96,1.0,0.97,0.97,2024,Águas Lindas de Goiás,Parda,Homem Cisgênero,Bacharelado,-0.38,-0.6,-0.17,-0.08,-0.08,-0.51
240.106,0.61,0.4,0.27,0.44,0.07,0.45,0.84,0.9,0.96,0.84,0.84,0.9,2024,Águas Lindas de Goiás,Parda,Mulher Cisgênero,Licenciatura,-0.77,-0.45,-0.69,-0.23,-0.44,-0.46
240.135,0.34,0.26,0.82,0.36,0.68,0.37,0.84,0.84,0.9,0.94,0.9,0.84,2024,Caruaru,Branca,Mulher Cisgênero,Licenciatura,-0.16,-0.47,-0.08,-0.6,-0.64,-0.48
250.091,0.28,0.12,0.24,0.49,0.46,0.56,0.79,0.67,0.82,0.67,0.78,0.78,2025,Vitória,Branca,Homem Cisgênero,Bacharelado,-0.33,-0.11,-0.58,-0.39,-0.66,-0.29
240.146,0.73,0.34,0.58,0.35,0.01,0.17,0.62,0.69,0.6,0.78,0.88,0.78,2024,Caruaru,Parda,Mulher Transsexual,Licenciatura,-0.61,-0.52,-0.02,-0.05,-0.54,-0.43
250.03,0.66,0.7,0.74,0.33,0.07,0.71,0.78,0.9,0.94,0.9,0.88,0.75,2025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Bacharelado,-0.71,-0.19,-0.2,-0.24,-0.18,-0.42
240.09,0.21,0.37,0.38,0.16,0.86,0.03,0.91,0.97,0.91,0.66,0.9,1.0,2024,Vitória,Preta,Mulher Cisgênero,Licenciatura,-0.05,-0.94,-0.53,-0.45,-0.53,-0.84
250.09,0.25,0.06,0.01,0.25,0.36,0.01,0.9,0.94,0.97,0.94,0.94,0.97,2025,Luziânia,Branca,Mulher Cisgênero,Bacharelado,-0.54,-0.93,-0.96,-0.69,-0.88,-0.72
240.165,0.03,0.34,0.15,0.16,0.63,0.27,0.88,1.0,0.88,0.88,0.88,1.0,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado e Licenciatura,-0.25,-0.73,-0.73,-0.85,-0.54,-0.84
250.102,0.52,0.62,0.87,0.29,0.17,0.09,0.82,0.9,0.9,0.88,0.88,0.88,2025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Licenciatura,-0.65,-0.81,-0.03,-0.36,-0.26,-0.59
240.005,0.94,0.01,0.44,0.54,0.09,0.34,1.0,1.0,1.0,0.97,0.94,1.0,2024,Cuiabá,Preta,Homem Cisgênero,Bacharelado,-0.91,-0.66,-0.56,-0.03,-0.93,-0.46
250.08,0.43,0.51,0.53,0.88,0.13,0.87,0.5,0.46,0.59,0.38,0.47,0.47,2025,Águas Lindas de Goiás,Branca,Homem Cisgênero,Bacharelado,-0.37,0.41,-0.06,0.05,0.04,0.41
250.007,0.77,0.68,0.33,0.51,0.49,0.17,0.81,0.66,0.75,0.66,0.66,0.82,2025,Vitória,Preta,Homem Cisgênero,Bacharelado,-0.32,-0.49,-0.42,0.11,0.02,-0.31
250.047,0.47,0.24,0.58,0.57,0.55,0.65,0.78,0.62,0.86,0.74,0.5,0.72,2025,Vitória,Preta,Homem Cisgênero,Tecnólogo (CST),-0.23,0.03,-0.28,-0.27,-0.26,-0.15
250.124,0.44,0.37,0.06,0.13,0.78,0.88,0.94,0.94,1.0,0.94,0.88,1.0,2025,Vitória,Branca,Homem Cisgênero,Licenciatura,-0.16,-0.06,-0.94,-0.5,-0.51,-0.87
250.013,0.09,0.13,0.68,0.12,0.81,0.67,0.94,0.88,0.97,0.88,0.94,0.84,2025,Cuiabá,Preta,Mulher Cisgênero,Bacharelado e Licenciatura,-0.13,-0.21,-0.29,-0.79,-0.81,-0.72
250.056,0.67,0.68,0.56,0.94,0.88,0.84,0.78,0.84,0.66,0.82,0.82,0.97,2025,Cuiabá,Branca,Mulher Cisgênero,Sem Informação,0.1,0.0,-0.1,-0.15,-0.14,-0.03
250.113,0.47,0.04,0.01,0.74,0.17,0.35,0.68,0.84,0.94,0.88,0.84,0.97,2025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Tecnólogo (CST),-0.51,-0.49,-0.93,-0.41,-0.8,-0.23
250.087,0.2,0.04,0.64,0.06,0.43,0.57,0.84,0.82,0.81,0.71,0.78,0.93,2025,Vitória,Branca,Mulher Cisgênero,Bacharelado,-0.41,-0.25,-0.17,-0.51,-0.74,-0.87
250.15,0.98,0.73,0.83,0.26,0.9,0.2,0.94,0.9,1.0,0.91,0.84,0.88,2025,Vitória,Preta,Mulher Cisgênero,Licenciatura,-0.04,-0.7,-0.17,0.07,-0.11,-0.62
250.048,0.66,0.46,0.68,0.2,0.49,0.3,0.78,0.84,0.72,0.84,0.78,0.94,2025,Cuiabá,Preta,Homem Cisgênero,Licenciatura,-0.29,-0.54,-0.04,-0.18,-0.32,-0.74
250.167,0.94,0.44,0.85,0.9,0.34,0.8,0.94,0.94,0.97,1.0,0.84,0.76,2025,Águas Lindas de Goiás,Branca,Homem Cisgênero,Bacharelado,-0.6,-0.14,-0.12,-0.06,-0.4,0.14
240.002,0.76,0.7,0.86,0.83,0.95,0.65,0.75,0.53,0.86,0.66,0.6,0.56,2024,Caruaru,Branca,Mulher Cisgênero,Licenciatura,0.2,0.12,0.0,0.1,0.1,0.27
250.155,0.16,0.55,0.2,0.69,0.09,0.89,0.62,0.62,0.53,0.62,0.66,0.72,2025,Vitória,Preta,Mulher Cisgênero,Licenciatura,-0.53,0.27,-0.33,-0.46,-0.11,-0.03
250.136,0.67,0.26,0.63,0.44,0.36,0.95,0.69,0.66,0.53,0.62,0.6,0.75,2025,Cuiabá,Preta,Mulher Cisgênero,Bacharelado,-0.33,0.29,0.1,0.05,-0.34,-0.31
250.086,0.11,0.01,0.06,0.92,0.01,0.12,0.84,0.9,0.94,0.97,0.94,0.9,2025,Caruaru,Parda,Mulher Cisgênero,Bacharelado,-0.83,-0.78,-0.88,-0.86,-0.93,0.02
250.1,0.12,0.26,0.29,0.73,0.29,0.09,0.62,0.62,0.72,0.72,0.62,0.62,2025,Petrolina,Parda,Mulher Cisgênero,Bacharelado,-0.33,-0.53,-0.43,-0.6,-0.36,0.11
250.094,0.56,0.46,0.43,0.8,0.29,0.5,0.52,0.72,0.63,0.6,0.82,0.64,2025,Vitória,Preta,Mulher Cisgênero,Licenciatura,-0.23,-0.22,-0.2,-0.04,-0.36,0.16
250.157,0.51,0.13,0.77,0.49,0.68,0.5,0.81,0.84,0.88,0.75,0.88,0.84,2025,Águas Lindas de Goiás,Preta,Mulher Cisgênero,Bacharelado,-0.13,-0.34,-0.11,-0.24,-0.75,-0.35
250.178,0.68,0.06,0.31,0.97,0.02,0.52,0.97,0.81,0.97,0.81,0.78,0.9,2025,Petrolina,Branca,Homem Cisgênero,Bacharelado,-0.95,-0.29,-0.66,-0.13,-0.72,0.07
240.169,0.8,0.94,0.99,0.06,0.99,0.66,0.84,0.94,0.9,0.88,0.9,0.84,2024,Caruaru,Parda,Mulher Cisgênero,Bacharelado,0.15,-0.28,0.09,-0.08,0.04,-0.78
250.154,0.63,0.34,0.47,0.61,0.09,0.5,0.81,0.94,0.88,0.9,0.88,0.88,2025,Vitória,Parda,Mulher Cisgênero,Bacharelado,-0.72,-0.44,-0.41,-0.27,-0.54,-0.27
240.015,0.49,0.75,0.01,0.01,0.09,0.02,0.97,1.0,1.0,1.0,1.0,1.0,2024,Campo Grande,Preta,Mulher Cisgênero,Bacharelado,-0.88,-0.98,-0.99,-0.51,-0.25,-0.99
240.207,0.04,0.19,0.26,0.68,0.59,0.77,0.94,0.9,0.94,0.9,0.82,0.94,2024,Luziânia,Parda,Homem Cisgênero,Licenciatura,-0.35,-0.13,-0.68,-0.86,-0.63,-0.26
250.053,0.73,0.75,0.95,0.35,0.13,0.47,0.97,0.94,1.0,0.94,1.0,1.0,2025,Cuiabá,Branca,Homem Cisgênero,Licenciatura,-0.84,-0.47,-0.05,-0.21,-0.25,-0.65
240.192,0.11,0.02,0.26,0.44,0.46,0.09,1.0,1.0,1.0,1.0,1.0,1.0,2024,Campo Grande,Branca,Homem Cisgênero,Bacharelado e Licenciatura,-0.54,-0.91,-0.74,-0.89,-0.98,-0.56
250.116,0.03,0.44,0.15,0.44,0.43,0.47,0.66,0.66,0.53,0.66,0.71,0.75,2025,Petrolina,Parda,Mulher Cisgênero,Tecnólogo (CST),-0.23,-0.19,-0.38,-0.63,-0.27,-0.31
240.016,0.17,0.34,0.36,0.79,0.58,0.59,0.66,0.69,0.75,0.62,0.66,0.72,2024,São Luís,Parda,Mulher Cisgênero,Licenciatura,-0.08,-0.1,-0.39,-0.45,-0.32,0.07
250.065,0.58,0.09,0.52,0.66,0.78,0.44,0.62,0.69,0.68,0.75,0.75,0.6,2025,Petrolina,Branca,Mulher Cisgênero,Bacharelado,0.16,-0.25,-0.16,-0.17,-0.66,0.06
240.103,0.85,0.4,0.44,0.33,0.22,0.14,0.81,0.94,0.78,0.78,0.84,0.75,2024,Luziânia,Parda,Homem Cisgênero,Bacharelado,-0.59,-0.8,-0.34,0.07,-0.44,-0.42
240.081,0.21,0.17,0.24,0.63,0.74,0.72,1.0,1.0,0.97,0.88,1.0,0.97,2024,Petrolina,Preta,Homem Cisgênero,Bacharelado,-0.26,-0.28,-0.73,-0.67,-0.83,-0.34
250.158,0.07,0.55,0.35,0.11,0.03,0.14,0.6,0.56,0.78,0.68,0.62,0.75,2025,Petrolina,Branca,Mulher Cisgênero,Bacharelado,-0.57,-0.42,-0.43,-0.61,-0.07,-0.64
250.072,0.87,0.79,0.36,0.18,0.46,0.16,0.53,0.53,0.53,0.68,0.53,0.69,2025,Caruaru,Branca,Mulher Cisgênero,Licenciatura,-0.07,-0.37,-0.17,0.19,0.26,-0.51
240.183,0.24,0.9,0.17,0.25,0.86,0.36,0.9,0.97,1.0,1.0,1.0,0.97,2024,Caruaru,Branca,Homem Cisgênero,Bacharelado,-0.04,-0.61,-0.83,-0.76,-0.1,-0.72
240.161,0.98,0.95,0.98,0.96,1.0,0.79,0.88,0.97,0.8,0.91,0.94,0.88,2024,Caruaru,Parda,Homem Cisgênero,Licenciatura,0.12,-0.18,0.18,0.07,0.01,0.08
240.121,0.57,0.15,0.45,0.38,0.74,0.5,0.84,0.94,0.8,1.0,0.94,0.94,2024,Cuiabá,Branca,Mulher Cisgênero,Licenciatura,-0.1,-0.44,-0.35,-0.43,-0.79,-0.56
240.08,0.49,0.6,0.73,0.84,0.17,0.49,1.0,1.0,1.0,1.0,1.0,1.0,2024,Campo Grande,Branca,Homem Cisgênero,Bacharelado,-0.83,-0.51,-0.27,-0.51,-0.4,-0.16
250.143,0.13,0.24,0.19,0.14,0.43,0.07,1.0,1.0,1.0,1.0,0.97,1.0,2025,Cuiabá,Branca,Mulher Cisgênero,Bacharelado,-0.57,-0.93,-0.81,-0.87,-0.73,-0.86
250.089,0.29,0.26,0.67,0.39,0.74,0.95,0.97,1.0,1.0,0.94,1.0,1.0,2025,Cuiabá,Parda,Mulher Cisgênero,Licenciatura,-0.23,-0.05,-0.33,-0.65,-0.74,-0.61
240.03,0.41,0.86,0.8,0.43,0.81,0.42,0.78,0.63,0.63,0.69,0.6,0.6,2024,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Bacharelado,0.03,-0.21,0.17,-0.28,0.26,-0.17
240.155,0.83,0.37,0.8,0.14,0.81,0.27,0.81,0.9,0.9,0.9,0.88,0.84,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado,0.0,-0.63,-0.1,-0.07,-0.51,-0.7
240.01,0.95,0.99,0.66,0.25,0.81,0.79,0.62,0.6,0.5,0.47,0.72,0.72,2024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,0.19,0.19,0.16,0.48,0.27,-0.47
240.071,0.47,0.62,0.48,0.16,0.49,0.8,0.88,0.88,0.96,0.9,0.9,0.84,2024,Vitória,Parda,Mulher Cisgênero,Licenciatura,-0.39,-0.08,-0.48,-0.43,-0.28,-0.68
240.131,0.91,0.95,0.95,0.99,0.55,0.99,0.6,0.68,0.53,0.84,0.88,0.72,2024,Campo Grande,Branca,Prefiro não informar,Licenciatura,-0.05,0.31,0.42,0.07,0.07,0.27
250.027,0.64,0.52,0.81,0.42,0.9,0.86,0.97,1.0,0.97,1.0,0.97,1.0,2025,Vitória,Parda,Homem Cisgênero,Bacharelado,-0.07,-0.14,-0.16,-0.36,-0.45,-0.58
240.101,0.48,0.84,0.9,0.97,0.36,0.59,0.82,0.84,0.78,0.84,0.79,0.86,2024,Campo Grande,Parda,Homem Cisgênero,Bacharelado,-0.46,-0.25,0.12,-0.36,0.05,0.11
250.105,0.7,0.97,0.47,0.75,0.22,0.94,0.62,0.63,0.62,0.53,0.53,0.68,2025,Cuiabá,Preta,Mulher Cisgênero,Licenciatura,-0.4,0.31,-0.15,0.17,0.44,0.07
240.092,0.89,0.24,0.06,0.55,0.07,0.82,0.91,0.84,0.88,0.66,0.82,0.78,2024,Caruaru,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,-0.84,-0.02,-0.82,0.23,-0.58,-0.23
250.063,0.39,0.65,0.48,0.79,0.03,0.62,0.88,0.94,0.88,0.91,0.88,0.97,2025,Cuiabá,Branca,Homem Cisgênero,Licenciatura,-0.85,-0.32,-0.4,-0.52,-0.23,-0.18
250.037,0.74,0.62,0.15,0.13,0.68,0.31,0.92,0.91,0.92,0.88,0.9,0.86,2025,Vitória,Preta,Mulher Cisgênero,Licenciatura,-0.24,-0.6,-0.77,-0.14,-0.28,-0.73
250.14,0.99,0.55,0.61,0.05,0.74,0.89,0.84,0.84,0.78,0.88,0.82,1.0,2025,Vitória,Preta,Homem Cisgênero,Licenciatura,-0.1,0.05,-0.17,0.11,-0.27,-0.95
250.082,0.37,0.4,0.23,0.65,0.06,0.75,0.78,0.84,0.84,0.88,0.88,0.75,2025,Petrolina,Branca,Homem Cisgênero,Bacharelado,-0.72,-0.09,-0.61,-0.51,-0.48,-0.1
240.143,0.38,0.73,0.39,0.32,0.17,0.56,0.91,0.94,0.9,1.0,0.88,0.78,2024,Petrolina,Preta,Mulher Cisgênero,Bacharelado,-0.74,-0.38,-0.51,-0.62,-0.15,-0.46
