Registro_Ensina,Turma_Ensina,Polo_Ensina,Raça_Ensina,Gênero_Ensina,Grau Acadêmico_Ensina,Função_Avaliador(a),Escola_Avaliador,Desenvolvimento Contínuo_Devolutiva,Desenvolvimento Contínuo_Diálogo,Desenvolvimento Contínuo_Compartilha,Desenvolvimento Contínuo_Referência,Visão Estratégica_Resultados,Visão Estratégica_Ajustar,Visão Estratégica_Coerência,Visão Estratégica_Conectar,Colaboração e Parceria_Abertura,Colaboração e Parceria_Engaja,Colaboração e Parceria_Ajuda,Colaboração e Parceria_Parceria,Adaptação e Inovação_Inovação,Adaptação e Inovação_Metodologia,Adaptação e Inovação_Revê,Adaptação e Inovação_Planejamento,Capacidade de Execução_Constância,Capacidade de Execução_Concreta,Capacidade de Execução_Padrões,Capacidade de Execução_Planos,Comunicação Empática_Expectativa,Comunicação Empática_Conflitos,Comunicação Empática_Sensibilidade,Comunicação Empática_Diálogo
250.007,2.025,Vitória,Preta,Homem Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),EMEF Ti Moacyr Avidos,4,4,3,2,3,3,3,3,4,3,4,2,3,3,3,3,3,3,3,3,3,4,4,4
250.007,2.025,Vitória,Preta,Homem Cisgênero,Bacharelado,6_Consultor(a) pedagógico(a),EMEF Ti Moacyr Avidos,4,3,4,2,2,2,2,3,4,2,4,1,4,2,2,1,2,2,2,3,3,3,3,2
240.010,2.024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,Coordenador(a) Pedagógico(a),Escola Estadual Maria Constança B. Machado,2,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,2,3,3,3,2,3
240.010,2.024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,12_Consultor(a) pedagógico(a),Escola Estadual Maria Constança B. Machado,2,2,3,3,2,2,3,4,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
240.013,2.024,Petrolina,Preta,Mulher Cisgênero,Licenciatura,Vice-diretor(a),Escola Municipal Moisés Barreto dos Santos,3,4,3,2,3,3,3,3,4,3,3,3,4,3,4,3,4,4,4,4,4,4,3,3
240.013,2.024,Petrolina,Preta,Mulher Cisgênero,Licenciatura,2_Consultor(a) pedagógico(a),Escola Municipal Moisés Barreto dos Santos,2,2,2,1,2,2,3,2,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3
240.015,2.024,Campo Grande,Preta,Mulher Cisgênero,Bacharelado,Diretor(a),Escola Estadual Lino Villachá,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.015,2.024,Campo Grande,Preta,Mulher Cisgênero,Bacharelado,12_Consultor(a) pedagógico(a),Escola Estadual Lino Villachá,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.016,2.024,São Luís,Parda,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),CE Benedito Leite,4,4,4,4,4,4,4,4,4,4,4,,,4,4,4,4,4,,4,4,4,4,4
240.016,2.024,São Luís,Parda,Mulher Cisgênero,Licenciatura,5_Consultor(a) pedagógico(a),Outros,1,2,,1,1,1,2,2,2,1,3,2,1,1,1,1,2,1,1,1,2,2,1,2
250.011,2.025,Petrolina,Preta,Homem Cisgênero,Bacharelado,Diretor(a),Escola Municipal Nossa Senhora Rainha dos Anjos - CAIC,4,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
250.011,2.025,Petrolina,Preta,Homem Cisgênero,Bacharelado,2_Consultor(a) pedagógico(a),Escola Municipal Nossa Senhora Rainha dos Anjos - CAIC,3,4,3,1,3,3,3,3,3,2,2,2,3,2,3,3,3,2,3,2,3,3,4,3
250.013,2.025,Cuiabá,Preta,Mulher Cisgênero,Bacharelado e Licenciatura,Diretor(a),EE Gustavo Kulmann,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.013,2.025,Cuiabá,Preta,Mulher Cisgênero,Bacharelado e Licenciatura,3_Consultor(a) pedagógico(a),EE Gustavo Kulmann,4,3,4,3,3,3,3,3,3,4,4,4,3,3,3,3,4,4,3,3,2,2,3,4
250.017,2.025,Cuiabá,Branca,Homem Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),EE José de Mesquita,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.017,2.025,Cuiabá,Branca,Homem Cisgênero,Bacharelado,3_Consultor(a) pedagógico(a),EE José de Mesquita,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.023,2.024,Vitória,Parda,Não Binária ou Não Binário,Bacharelado,Coordenador(a) de Área,EMEFTI José Áureo Monjardim,3,4,3,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3
240.023,2.024,Vitória,Parda,Não Binária ou Não Binário,Bacharelado,4_Consultor(a) pedagógico(a),EMEFTI José Áureo Monjardim,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2
240.024,2.024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado,Diretor(a),Escola Estadual Prof. Maria de Lurdes Widal Roma,3,3,4,4,3,3,4,4,3,4,3,3,3,4,3,4,4,4,4,4,4,3,4,3
240.024,2.024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado,12_Consultor(a) pedagógico(a),Escola Estadual Prof. Maria de Lurdes Widal Roma,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4
240.027,2.024,Vitória,Sem Informação,Mulher Cisgênero,Licenciatura,Diretor(a),EMEF Heloísa Abreu Júdice de Mattos,4,4,4,3,3,3,4,4,4,4,4,4,2,3,2,3,3,3,3,3,4,4,3,4
240.027,2.024,Vitória,Sem Informação,Mulher Cisgênero,Licenciatura,11_Consultor(a) pedagógico(a),EMEF Heloísa Abreu Júdice de Mattos,2,4,2,,3,3,3,4,3,4,3,4,,3,2,4,4,2,3,2,4,4,4,4
250.020,2.025,Águas Lindas de Goiás,Parda,Mulher Cisgênero,Bacharelado,Diretor(a),Colégio Estadual Juscelino Kubitschek de Oliveira,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,3,4
250.020,2.025,Águas Lindas de Goiás,Parda,Mulher Cisgênero,Bacharelado,13_Consultor(a) pedagógico(a),Colégio Estadual Juscelino Kubitschek de Oliveira,4,4,4,,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3,2,4,4
250.027,2.025,Vitória,Parda,Homem Cisgênero,Bacharelado,Diretor(a),EMEF Ceciliano Abel de Almeida,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.027,2.025,Vitória,Parda,Homem Cisgênero,Bacharelado,7_Consultor(a) pedagógico(a),EMEF Ceciliano Abel de Almeida,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4
240.029,2.024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado,Diretor(a),EE Padre José Scampini,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
240.029,2.024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado,12_Consultor(a) pedagógico(a),EE Padre José Scampini,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.029,2.025,Petrolina,Preta,Mulher Cisgênero,Tecnólogo (CST),Diretor(a),Escola Municipal Nossa Senhora Rainha dos Anjos - CAIC,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,4,4,4,3,3,4,3,4,4
250.029,2.025,Petrolina,Preta,Mulher Cisgênero,Tecnólogo (CST),2_Consultor(a) pedagógico(a),Escola Municipal Nossa Senhora Rainha dos Anjos - CAIC,1,2,3,1,1,2,1,3,3,3,3,4,1,3,2,1,1,1,1,1,3,3,3,2
250.030,2.025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),Colégio Estadual Ayrton Senna da Silva,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4
250.030,2.025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Bacharelado,9_Consultor(a) pedagógico(a),Colégio Estadual Ayrton Senna da Silva,4,3,2,2,3,3,3,4,4,3,4,3,3,3,3,4,3,3,3,3,2,2,3,3
240.030,2.024,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Bacharelado,Diretor(a),Colégio Estadual Mansões Odisseia,3,4,4,4,3,4,4,3,4,4,3,3,4,4,3,4,4,4,3,3,3,4,4,3
240.030,2.024,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Bacharelado,13_Consultor(a) pedagógico(a),Colégio Estadual Mansões Odisseia,2,3,,,1,2,1,2,,1,2,,2,1,1,3,2,1,1,1,1,1,2,1
240.031,2.024,Vitória,Parda,Mulher Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),EMEF Alberto de Almeida,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.031,2.024,Vitória,Parda,Mulher Cisgênero,Bacharelado,1_Consultor(a) pedagógico(a),EMEF Alberto de Almeida,4,4,2,1,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
250.033,2.025,Vitória,Branca,Mulher Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),EMEF Rita de Cássia Oliveira,4,3,4,4,3,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4
250.033,2.025,Vitória,Branca,Mulher Cisgênero,Bacharelado,4_Consultor(a) pedagógico(a),EMEF Rita de Cássia Oliveira,4,3,2,3,3,3,4,3,4,4,3,2,3,3,3,4,4,3,3,4,3,3,3,3
240.036,2.024,Campo Grande,Parda,Homem Cisgênero,Licenciatura,Diretor(a),Escola Estadual Lino Villachá,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.036,2.024,Campo Grande,Parda,Homem Cisgênero,Licenciatura,12_Consultor(a) pedagógico(a),Escola Estadual Lino Villachá,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.038,2.024,Águas Lindas de Goiás,Prefiro não informar,Homem Cisgênero,Licenciatura,Diretor(a),Colégio Estadual Mansões Odisseia,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,4,3,4
240.038,2.024,Águas Lindas de Goiás,Prefiro não informar,Homem Cisgênero,Licenciatura,13_Consultor(a) pedagógico(a),Colégio Estadual Mansões Odisseia,3,4,,,2,2,2,4,,4,4,3,2,2,2,3,4,3,3,2,4,4,4,4
250.037,2.025,Vitória,Preta,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EMEF Alberto de Almeida,4,3,,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3
250.037,2.025,Vitória,Preta,Mulher Cisgênero,Licenciatura,1_Consultor(a) pedagógico(a),EMEF Alberto de Almeida,4,,,,4,4,4,3,,4,2,4,3,3,3,3,4,2,3,4,2,4,4,
240.039,2.024,Vitória,Parda,Mulher Cisgênero,Bacharelado,Diretor(a),EMEF Eliane Rodrigues dos Santos,,,1,,,1,1,1,2,2,1,,2,2,2,3,2,2,2,2,2,2,2,2
240.039,2.024,Vitória,Parda,Mulher Cisgênero,Bacharelado,11_Consultor(a) pedagógico(a),EMEF Eliane Rodrigues dos Santos,3,3,2,,2,2,3,4,,2,,,2,2,2,3,3,2,2,2,2,3,4,2
240.046,2.024,Caruaru,Parda,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),ETI Irmã Ceciliana Gross,2,2,3,3,2,3,1,3,2,3,3,,3,3,1,3,2,3,4,3,2,2,3,2
240.046,2.024,Caruaru,Parda,Mulher Cisgênero,Licenciatura,10_Consultor(a) pedagógico(a),ETI Irmã Ceciliana Gross,2,2,2,1,2,1,2,4,2,3,2,3,2,1,2,2,3,3,3,2,2,3,4,2
250.047,2.025,Vitória,Preta,Homem Cisgênero,Tecnólogo (CST),Coordenador(a) Pedagógico(a),EMEF Maria José Costa Moraes,4,3,3,3,3,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,2,3
250.047,2.025,Vitória,Preta,Homem Cisgênero,Tecnólogo (CST),1_Consultor(a) pedagógico(a),EMEF Maria José Costa Moraes,3,3,,,,2,1,2,,4,3,3,2,2,,4,,1,1,,2,4,4,2
250.048,2.025,Cuiabá,Preta,Homem Cisgênero,Licenciatura,Assistente Social,EE Dr. Mário de Castro,3,4,4,3,4,3,3,4,4,4,4,4,3,4,4,3,4,3,3,3,3,4,3,4
250.048,2.025,Cuiabá,Preta,Homem Cisgênero,Licenciatura,8_Consultor(a) pedagógico(a),EE Dr. Mário de Castro,3,4,2,2,3,3,3,4,2,2,2,1,4,3,3,3,3,3,3,3,4,4,4,4
250.049,2.025,Caruaru,Amarela,Homem Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),ETI Capitão João Velho,4,4,4,,3,3,3,4,4,4,3,4,3,4,4,4,4,3,3,4,4,2,3,3
250.049,2.025,Caruaru,Amarela,Homem Cisgênero,Bacharelado,10_Consultor(a) pedagógico(a),ETI Capitão João Velho,4,2,2,2,3,2,2,4,4,4,3,4,3,3,3,3,3,2,2,3,2,2,3,3
250.050,2.025,Luziânia,Parda,Homem Cisgênero,Bacharelado,Diretor(a),Colégio Estadual Alceu de Araújo Roriz,3,3,3,2,3,3,4,4,2,3,2,2,4,3,3,3,3,4,3,3,3,2,3,2
250.050,2.025,Luziânia,Parda,Homem Cisgênero,Bacharelado,9_Consultor(a) pedagógico(a),Colégio Estadual Alceu de Araújo Roriz,2,1,1,1,3,2,2,2,3,2,3,2,2,2,3,3,2,2,2,3,1,1,2,1
240.195,2.024,Vitória,Parda,Mulher Cisgênero,Bacharelado,Diretor(a),EMEF Prof. Maria Stella de Novaes,2,2,3,2,1,2,3,3,3,1,3,,2,2,,3,3,2,3,3,2,3,4,4
240.195,2.024,Vitória,Parda,Mulher Cisgênero,Bacharelado,1_Consultor(a) pedagógico(a),EMEF Prof. Maria Stella de Novaes,3,3,2,,3,3,4,4,2,3,3,3,3,4,3,4,3,3,3,4,3,3,3,3
250.052,2.025,Vitória,Parda,Homem Cisgênero,Licenciatura,Diretor(a),EMEF Orlandina D’Almeida Lucas,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.052,2.025,Vitória,Parda,Homem Cisgênero,Licenciatura,11_Consultor(a) pedagógico(a),EMEF Orlandina D’Almeida Lucas,4,2,2,,2,3,3,3,4,4,,2,2,3,3,3,3,2,2,3,2,3,3,2
250.053,2.025,Cuiabá,Branca,Homem Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EE Padre Firmo Pinto Duarte Filho,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4
250.053,2.025,Cuiabá,Branca,Homem Cisgênero,Licenciatura,8_Consultor(a) pedagógico(a),EE Padre Firmo Pinto Duarte Filho,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.054,2.024,São Luís,Parda,Homem Cisgênero,Bacharelado,Diretor(a),Centro Educa Mais João Francisco Lisboa,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
240.054,2.024,São Luís,Parda,Homem Cisgênero,Bacharelado,5_Consultor(a) pedagógico(a),Outros,3,2,2,2,3,2,3,3,3,2,2,1,3,3,3,3,2,2,3,3,2,,2,2
240.055,2.024,Campo Grande,Branca,Homem Cisgênero,Bacharelado,Diretor(a),EE Padre José Scampini,3,4,4,2,3,3,3,4,4,4,4,3,4,3,4,3,3,3,3,3,3,4,4,4
240.055,2.024,Campo Grande,Branca,Homem Cisgênero,Bacharelado,12_Consultor(a) pedagógico(a),EE Padre José Scampini,2,2,2,2,3,3,3,4,3,3,2,3,3,3,3,4,3,3,2,3,3,2,2,3
250.055,2.025,Vitória,Branca,Mulher Cisgênero,Bacharelado,Diretor(a),EMEF Ceciliano Abel de Almeida,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4
250.055,2.025,Vitória,Branca,Mulher Cisgênero,Bacharelado,7_Consultor(a) pedagógico(a),EMEF Ceciliano Abel de Almeida,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4
240.059,2.024,São Luís,Parda,Mulher Cisgênero,Bacharelado,Diretor(a),Centro Educa Mais Coelho Neto,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,4,3,3,3,4,3,3,3,3
240.059,2.024,São Luís,Parda,Mulher Cisgênero,Bacharelado,5_Consultor(a) pedagógico(a),Outros,4,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,2,2,2,3,4,3,3,3
250.056,2.025,Cuiabá,Branca,Mulher Cisgênero,Sem Informação,Assistente Social,EE Dr. Mário de Castro,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,2,4,4,4,4
250.056,2.025,Cuiabá,Branca,Mulher Cisgênero,Sem Informação,8_Consultor(a) pedagógico(a),EE Dr. Mário de Castro,4,4,1,1,3,2,3,4,1,2,2,1,3,2,3,3,3,2,4,3,4,4,3,4
240.060,2.024,Caruaru,Preta,Mulher Cisgênero,Bacharelado,Diretor(a),Escola Municipal Prefeito João Lyra Filho,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240.060,2.024,Caruaru,Preta,Mulher Cisgênero,Bacharelado,10_Consultor(a) pedagógico(a),Escola Municipal Prefeito João Lyra Filho,3,2,,1,,1,1,2,3,2,2,,,1,,2,,2,,,1,2,,2
240.061,2.024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),Escola Estadual Maria Constança B. Machado,2,3,1,1,2,1,1,2,4,4,3,,2,1,2,3,3,1,1,2,2,1,3,3
240.061,2.024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado,12_Consultor(a) pedagógico(a),Escola Estadual Maria Constança B. Machado,4,4,3,4,4,4,4,4,2,3,3,3,4,4,3,3,2,3,3,3,3,2,4,4
250.063,2.025,Cuiabá,Branca,Homem Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EE Juarez Rodrigues dos Anjos,4,4,4,4,3,3,4,4,4,4,4,3,2,4,4,4,4,4,3,3,4,3,4,4
250.063,2.025,Cuiabá,Branca,Homem Cisgênero,Licenciatura,8_Consultor(a) pedagógico(a),EE Juarez Rodrigues dos Anjos,4,4,2,2,4,4,4,4,4,4,4,1,4,4,4,3,3,4,3,4,4,4,4,4
240.066,2.024,Vitória,Preta,Mulher Cisgênero,Licenciatura,Diretor(a),EMEF Tancredo de Almeida Neves,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.066,2.024,Vitória,Preta,Mulher Cisgênero,Licenciatura,6_Consultor(a) pedagógico(a),EMEF Tancredo de Almeida Neves,4,4,3,4,4,4,4,4,4,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4
240.062,2.024,Vitória,Branca,Não Binária ou Não Binário,Bacharelado,Diretor(a),EMEF Paulo Roberto Vieira Gomes,,,,,,,,,,,,,,2,,,,,,,,,,
240.062,2.024,Vitória,Branca,Não Binária ou Não Binário,Bacharelado,7_Consultor(a) pedagógico(a),EMEF Paulo Roberto Vieira Gomes,1,1,2,1,2,2,3,3,1,1,3,1,4,3,2,2,4,3,4,2,3,1,3,2
250.065,2.025,Petrolina,Branca,Mulher Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),Escola Municipal José Esmerindo Ribeiro,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4
250.065,2.025,Petrolina,Branca,Mulher Cisgênero,Bacharelado,5_Consultor(a) pedagógico(a),Outros,1,1,2,1,2,1,2,2,1,2,2,,1,2,3,2,2,2,2,,1,1,2,2
240.071,2.024,Vitória,Parda,Mulher Cisgênero,Licenciatura,Diretor(a),EMEF Francisco Lacerda Aguiar,3,4,,3,4,4,4,4,4,4,3,,4,4,4,4,3,4,4,,4,4,3,4
240.071,2.024,Vitória,Parda,Mulher Cisgênero,Licenciatura,6_Consultor(a) pedagógico(a),EMEF Francisco Lacerda Aguiar,4,3,4,4,3,2,3,4,4,4,4,4,4,2,3,4,4,3,3,4,2,2,4,4
240.072,2.024,Campo Grande,Parda,Mulher Cisgênero,Licenciatura,Diretor(a),EE José Mamede de Aquino,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
240.072,2.024,Campo Grande,Parda,Mulher Cisgênero,Licenciatura,12_Consultor(a) pedagógico(a),EE José Mamede de Aquino,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.073,2.024,Cuiabá,Preta,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EE Dr. Hélio Palma de Arruda,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,4,4,4
240.073,2.024,Cuiabá,Preta,Mulher Cisgênero,Licenciatura,3_Consultor(a) pedagógico(a),EE Dr. Hélio Palma de Arruda,3,3,3,4,4,4,4,4,4,3,2,3,3,3,4,4,4,3,4,4,4,4,4,4
240.075,2.024,Cuiabá,Branca,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EE Leovegildo de Melo,4,2,2,,2,2,3,4,4,4,2,3,2,4,3,4,3,4,4,4,3,3,4,3
240.075,2.024,Cuiabá,Branca,Mulher Cisgênero,Licenciatura,3_Consultor(a) pedagógico(a),EE Leovegildo de Melo,2,3,1,1,2,3,3,2,3,3,3,3,3,2,2,3,2,2,2,2,2,3,3,3
240.076,2.024,Vitória,Branca,Homem Cisgênero,Bacharelado,Diretor(a),EMEF João Bandeira (Prof.),2,3,3,3,3,2,3,3,3,3,2,,3,3,2,3,3,3,2,2,4,3,3,3
240.076,2.024,Vitória,Branca,Homem Cisgênero,Bacharelado,7_Consultor(a) pedagógico(a),EMEF João Bandeira (Prof.),4,4,4,3,4,2,3,4,4,3,3,3,4,4,4,4,4,3,4,4,4,3,4,3
240.080,2.024,Campo Grande,Branca,Homem Cisgênero,Bacharelado,Diretor(a),Escola Estadual Prof. Maria de Lurdes Widal Roma,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.080,2.024,Campo Grande,Branca,Homem Cisgênero,Bacharelado,12_Consultor(a) pedagógico(a),Escola Estadual Prof. Maria de Lurdes Widal Roma,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.081,2.024,Petrolina,Preta,Homem Cisgênero,Bacharelado,Diretor(a),Escola Municipal José Nunes de Santana,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.081,2.024,Petrolina,Preta,Homem Cisgênero,Bacharelado,2_Consultor(a) pedagógico(a),Escola Municipal José Nunes de Santana,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,3,4,4,4,4,3,4,4,4
250.071,2.025,Vitória,Preta,Homem Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EMEF Alberto de Almeida,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.071,2.025,Vitória,Preta,Homem Cisgênero,Licenciatura,1_Consultor(a) pedagógico(a),EMEF Alberto de Almeida,4,3,4,,3,3,3,4,3,4,,4,3,3,1,4,3,4,4,3,2,4,4,4
240.084,2.024,Vitória,Sem Informação,Mulher Cisgênero,Bacharelado e Licenciatura,Bibliotecária,EMEF Rita de Cássia Oliveira,3,3,3,4,3,3,3,4,4,3,2,4,4,3,3,3,3,4,3,4,4,3,3,4
240.084,2.024,Vitória,Sem Informação,Mulher Cisgênero,Bacharelado e Licenciatura,4_Consultor(a) pedagógico(a),EMEF Rita de Cássia Oliveira,3,2,3,3,3,3,3,3,4,3,3,3,3,3,2,2,3,2,2,3,4,2,2,2
