ID_Colaborador,Adaptação e Inovação_Auto,Capacidade de Execução_Auto,Colaboração e Parceria_Auto,Comunicação Empática_Auto,Desenvolvimento Contínuo_Auto,Visão Estratégica_Auto,Desenvolvimento Contínuo_Terc,Visão Estratégica_Terc,Colaboração e Parceria_Terc,Adaptação e Inovação_Terc,Capacidade de Execução_Terc,Comunicação Empática_Terc,Ano,Filial,Raça,Gênero,Grau Acadêmico
240.054,0.02,0.04,0.42,0.57,0.34,0.17,0.78,0.84,0.75,0.88,0.78,0.75,2024,São Luís,Parda,Homem Cisgênero,Bacharelado
240.195,0.83,0.4,0.04,0.75,0.03,0.63,0.62,0.72,0.64,0.73,0.75,0.78,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado
250.163,0.77,0.52,0.65,0.93,0.97,0.35,0.86,0.94,0.92,1.0,0.97,1.0,2025,Vitória,Parda,Mulher Cisgênero,Bacharelado e Licenciatura
240.024,0.26,0.84,0.78,0.89,0.9,0.81,0.94,0.94,0.9,0.94,0.97,0.91,2024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado
250.112,0.8,1.0,0.36,0.02,0.22,0.68,0.75,0.75,0.69,0.75,0.66,0.66,2025,Luziânia,Branca,Homem Cisgênero,Sem Informação
250.083,0.68,0.98,0.97,0.7,0.78,0.86,0.81,0.97,0.97,1.0,0.91,0.84,2025,Cuiabá,Branca,Homem Cisgênero,Licenciatura
240.059,0.61,0.75,0.31,0.21,0.29,0.23,0.78,0.81,0.84,0.78,0.68,0.78,2024,São Luís,Parda,Mulher Cisgênero,Bacharelado
240.151,0.9,0.92,0.62,0.52,0.97,0.98,0.34,0.5,0.56,0.6,0.56,0.68,2024,Campo Grande,Preta,Mulher Cisgênero,Bacharelado
240.193,0.71,0.51,0.18,0.06,0.15,0.59,0.84,0.78,0.9,0.88,0.84,0.94,2024,Cuiabá,Branca,Mulher Cisgênero,Bacharelado
250.052,0.45,0.03,0.2,0.59,0.03,0.04,0.8,0.84,0.92,0.84,0.81,0.81,2025,Vitória,Parda,Homem Cisgênero,Licenciatura
240.097,0.54,0.75,0.57,0.66,0.49,0.57,0.75,0.75,0.88,0.69,0.91,0.78,2024,Campo Grande,Branca,Homem Cisgênero,Bacharelado
240.036,0.88,0.75,0.9,0.88,0.88,0.23,1.0,1.0,1.0,1.0,1.0,1.0,2024,Campo Grande,Parda,Homem Cisgênero,Licenciatura
250.076,0.79,0.55,0.26,0.15,0.49,0.31,0.75,0.66,0.86,0.84,0.75,0.75,2025,Caruaru,Branca,Mulher Cisgênero,Licenciatura
240.204,0.62,0.26,0.94,0.92,0.22,0.56,0.75,0.94,0.94,0.97,0.97,0.84,2024,Águas Lindas de Goiás,Preta,Mulher Cisgênero,Licenciatura
240.115,0.14,0.62,0.48,0.21,0.22,0.26,0.72,0.62,0.82,0.78,0.86,0.88,2024,Caruaru,Sem Informação,Mulher Cisgênero,Tecnólogo
240.15,0.65,0.79,0.42,0.03,0.68,0.97,1.0,1.0,1.0,1.0,1.0,1.0,2024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado
240.072,0.59,0.8,0.93,0.41,0.43,0.49,1.0,1.0,0.97,1.0,1.0,1.0,2024,Campo Grande,Parda,Mulher Cisgênero,Licenciatura
250.146,0.3,0.26,0.85,0.9,0.78,0.85,0.54,0.75,0.62,0.81,0.62,0.6,2025,Águas Lindas de Goiás,Parda,Mulher Cisgênero,Bacharelado
250.159,0.22,0.95,0.5,0.86,0.59,0.93,0.88,0.77,0.79,0.88,0.78,0.75,2025,Caruaru,Branca,Homem Cisgênero,Bacharelado
240.2,0.7,0.26,0.79,0.72,0.94,0.74,0.68,0.88,0.72,0.84,0.9,0.68,2024,Vitória,Parda,Mulher Cisgênero,Licenciatura
250.05,0.57,0.69,0.97,0.99,0.68,1.0,0.5,0.72,0.59,0.72,0.68,0.46,2025,Luziânia,Parda,Homem Cisgênero,Bacharelado
250.138,0.29,0.65,0.13,0.26,0.17,0.07,0.93,1.0,1.0,1.0,0.97,0.97,2025,Vitória,Parda,Homem Cisgênero,Bacharelado
250.142,0.45,0.06,0.56,0.3,0.49,0.54,0.91,0.81,0.81,0.75,0.62,0.78,2025,Cuiabá,Preta,Homem Cisgênero,Licenciatura
240.188,0.24,0.55,0.89,0.21,0.74,0.09,0.84,0.88,0.97,0.9,0.91,0.91,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado
250.125,0.12,0.46,0.74,0.03,0.36,0.21,0.84,0.9,0.84,0.88,0.84,0.9,2025,Águas Lindas de Goiás,Branca,Homem Cisgênero,Bacharelado
240.209,0.84,0.26,0.59,0.21,0.29,0.4,0.75,0.88,0.75,0.9,0.9,0.9,2024,Cuiabá,Parda,Homem Cisgênero,Licenciatura
250.166,0.82,0.6,0.4,0.58,0.36,0.32,0.43,0.38,0.47,0.38,0.44,0.28,2025,Caruaru,Branca,Homem Cisgênero,Bacharelado
250.099,0.08,0.65,0.06,0.09,0.49,0.91,0.84,0.84,0.72,0.84,0.72,0.94,2025,Vitória,Branca,Mulher Cisgênero,Licenciatura
240.186,0.59,0.21,0.22,0.7,0.59,0.9,0.84,0.88,0.82,0.88,0.84,0.78,2024,Luziânia,Branca,Homem Cisgênero,Bacharelado
240.029,0.08,0.8,0.88,0.47,0.9,0.07,0.97,1.0,0.97,1.0,1.0,0.97,2024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado
240.159,0.65,0.52,0.45,0.84,0.36,0.4,0.96,1.0,0.92,1.0,0.97,1.0,2024,Vitória,Branca,Homem Cisgênero,Bacharelado
250.171,0.95,0.98,0.74,0.23,0.96,0.39,0.57,0.59,0.74,0.66,0.66,0.58,2025,Vitória,Branca,Homem Cisgênero,Bacharelado
240.084,0.06,0.19,0.01,0.4,0.55,0.39,0.75,0.78,0.81,0.72,0.75,0.75,2024,Vitória,Sem Informação,Mulher Cisgênero,Bacharelado e Licenciatura
240.136,0.5,0.85,0.09,0.53,0.33,0.52,0.78,0.84,0.81,0.84,0.78,0.81,2024,Petrolina,Parda,Homem Cisgênero,Bacharelado
250.121,0.97,0.86,0.59,0.98,0.59,0.7,0.81,0.88,0.88,0.88,0.9,0.9,2025,Caruaru,Branca,Mulher Cisgênero,Bacharelado
240.208,0.04,0.17,0.65,0.67,0.29,0.03,0.88,0.9,0.91,0.94,0.94,0.97,2024,Vitória,Preta,Mulher Cisgênero,Licenciatura
240.18,0.84,0.46,0.03,0.83,0.42,0.34,0.78,0.88,0.88,0.88,0.78,0.81,2024,Águas Lindas de Goiás,Preta,Homem Cisgênero,Bacharelado
250.149,0.42,0.44,0.27,0.81,0.29,0.34,0.78,0.84,0.78,0.88,0.88,0.88,2025,Vitória,Branca,Homem Cisgênero,Bacharelado
250.165,0.96,0.62,0.47,0.95,0.59,0.05,0.75,0.69,0.94,0.78,0.68,0.78,2025,Petrolina,Branca,Mulher Cisgênero,Bacharelado
250.049,0.31,0.4,0.62,0.78,0.17,0.63,0.81,0.75,0.94,0.84,0.75,0.68,2025,Caruaru,Amarela,Homem Cisgênero,Bacharelado
240.109,0.09,0.34,0.35,0.58,0.63,0.4,0.9,0.97,0.91,0.97,1.0,0.94,2024,Vitória,Branca,Mulher Cisgênero,Bacharelado e Licenciatura
240.027,0.41,0.55,0.76,0.42,0.22,0.88,0.8,0.84,0.94,0.68,0.72,0.97,2024,Vitória,Sem Informação,Mulher Cisgênero,Licenciatura
240.104,0.92,0.89,0.79,0.46,0.59,0.37,0.97,0.97,0.96,1.0,0.97,0.97,2024,Águas Lindas de Goiás,Parda,Homem Cisgênero,Bacharelado
240.106,0.61,0.4,0.27,0.44,0.07,0.45,0.84,0.9,0.96,0.84,0.84,0.9,2024,Águas Lindas de Goiás,Parda,Mulher Cisgênero,Licenciatura
240.135,0.34,0.26,0.82,0.36,0.68,0.37,0.84,0.84,0.9,0.94,0.9,0.84,2024,Caruaru,Branca,Mulher Cisgênero,Licenciatura
250.091,0.28,0.12,0.24,0.49,0.46,0.56,0.79,0.67,0.82,0.67,0.78,0.78,2025,Vitória,Branca,Homem Cisgênero,Bacharelado
240.146,0.73,0.34,0.58,0.35,0.01,0.17,0.62,0.69,0.6,0.78,0.88,0.78,2024,Caruaru,Parda,Mulher Transsexual,Licenciatura
250.03,0.66,0.7,0.74,0.33,0.07,0.71,0.78,0.9,0.94,0.9,0.88,0.75,2025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Bacharelado
240.09,0.21,0.37,0.38,0.16,0.86,0.03,0.91,0.97,0.91,0.66,0.9,1.0,2024,Vitória,Preta,Mulher Cisgênero,Licenciatura
250.09,0.25,0.06,0.01,0.25,0.36,0.01,0.9,0.94,0.97,0.94,0.94,0.97,2025,Luziânia,Branca,Mulher Cisgênero,Bacharelado
240.165,0.03,0.34,0.15,0.16,0.63,0.27,0.88,1.0,0.88,0.88,0.88,1.0,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado e Licenciatura
250.102,0.52,0.62,0.87,0.29,0.17,0.09,0.82,0.9,0.9,0.88,0.88,0.88,2025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Licenciatura
240.005,0.94,0.01,0.44,0.54,0.09,0.34,1.0,1.0,1.0,0.97,0.94,1.0,2024,Cuiabá,Preta,Homem Cisgênero,Bacharelado
250.08,0.43,0.51,0.53,0.88,0.13,0.87,0.5,0.46,0.59,0.38,0.47,0.47,2025,Águas Lindas de Goiás,Branca,Homem Cisgênero,Bacharelado
250.007,0.77,0.68,0.33,0.51,0.49,0.17,0.81,0.66,0.75,0.66,0.66,0.82,2025,Vitória,Preta,Homem Cisgênero,Bacharelado
250.047,0.47,0.24,0.58,0.57,0.55,0.65,0.78,0.62,0.86,0.74,0.5,0.72,2025,Vitória,Preta,Homem Cisgênero,Tecnólogo
250.124,0.44,0.37,0.06,0.13,0.78,0.88,0.94,0.94,1.0,0.94,0.88,1.0,2025,Vitória,Branca,Homem Cisgênero,Licenciatura
250.013,0.09,0.13,0.68,0.12,0.81,0.67,0.94,0.88,0.97,0.88,0.94,0.84,2025,Cuiabá,Preta,Mulher Cisgênero,Bacharelado e Licenciatura
250.056,0.67,0.68,0.56,0.94,0.88,0.84,0.78,0.84,0.66,0.82,0.82,0.97,2025,Cuiabá,Branca,Mulher Cisgênero,Sem Informação
250.113,0.47,0.04,0.01,0.74,0.17,0.35,0.68,0.84,0.94,0.88,0.84,0.97,2025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Tecnólogo
250.087,0.2,0.04,0.64,0.06,0.43,0.57,0.84,0.82,0.81,0.71,0.78,0.93,2025,Vitória,Branca,Mulher Cisgênero,Bacharelado
250.15,0.98,0.73,0.83,0.26,0.9,0.2,0.94,0.9,1.0,0.91,0.84,0.88,2025,Vitória,Preta,Mulher Cisgênero,Licenciatura
250.048,0.66,0.46,0.68,0.2,0.49,0.3,0.78,0.84,0.72,0.84,0.78,0.94,2025,Cuiabá,Preta,Homem Cisgênero,Licenciatura
250.167,0.94,0.44,0.85,0.9,0.34,0.8,0.94,0.94,0.97,1.0,0.84,0.76,2025,Águas Lindas de Goiás,Branca,Homem Cisgênero,Bacharelado
240.002,0.76,0.7,0.86,0.83,0.95,0.65,0.75,0.53,0.86,0.66,0.6,0.56,2024,Caruaru,Branca,Mulher Cisgênero,Licenciatura
250.155,0.16,0.55,0.2,0.69,0.09,0.89,0.62,0.62,0.53,0.62,0.66,0.72,2025,Vitória,Preta,Mulher Cisgênero,Licenciatura
250.136,0.67,0.26,0.63,0.44,0.36,0.95,0.69,0.66,0.53,0.62,0.6,0.75,2025,Cuiabá,Preta,Mulher Cisgênero,Bacharelado
250.086,0.11,0.01,0.06,0.92,0.01,0.12,0.84,0.9,0.94,0.97,0.94,0.9,2025,Caruaru,Parda,Mulher Cisgênero,Bacharelado
250.1,0.12,0.26,0.29,0.73,0.29,0.09,0.62,0.62,0.72,0.72,0.62,0.62,2025,Petrolina,Parda,Mulher Cisgênero,Bacharelado
250.094,0.56,0.46,0.43,0.8,0.29,0.5,0.52,0.72,0.63,0.6,0.82,0.64,2025,Vitória,Preta,Mulher Cisgênero,Licenciatura
250.157,0.51,0.13,0.77,0.49,0.68,0.5,0.81,0.84,0.88,0.75,0.88,0.84,2025,Águas Lindas de Goiás,Preta,Mulher Cisgênero,Bacharelado
250.178,0.68,0.06,0.31,0.97,0.02,0.52,0.97,0.81,0.97,0.81,0.78,0.9,2025,Petrolina,Branca,Homem Cisgênero,Bacharelado
240.169,0.8,0.94,0.99,0.06,0.99,0.66,0.84,0.94,0.9,0.88,0.9,0.84,2024,Caruaru,Parda,Mulher Cisgênero,Bacharelado
250.154,0.63,0.34,0.47,0.61,0.09,0.5,0.81,0.94,0.88,0.9,0.88,0.88,2025,Vitória,Parda,Mulher Cisgênero,Bacharelado
240.015,0.49,0.75,0.01,0.01,0.09,0.02,0.97,1.0,1.0,1.0,1.0,1.0,2024,Campo Grande,Preta,Mulher Cisgênero,Bacharelado
240.207,0.04,0.19,0.26,0.68,0.59,0.77,0.94,0.9,0.94,0.9,0.82,0.94,2024,Luziânia,Parda,Homem Cisgênero,Licenciatura
250.053,0.73,0.75,0.95,0.35,0.13,0.47,0.97,0.94,1.0,0.94,1.0,1.0,2025,Cuiabá,Branca,Homem Cisgênero,Licenciatura
240.192,0.11,0.02,0.26,0.44,0.46,0.09,1.0,1.0,1.0,1.0,1.0,1.0,2024,Campo Grande,Branca,Homem Cisgênero,Bacharelado e Licenciatura
250.116,0.03,0.44,0.15,0.44,0.43,0.47,0.66,0.66,0.53,0.66,0.71,0.75,2025,Petrolina,Parda,Mulher Cisgênero,Tecnólogo
240.016,0.17,0.34,0.36,0.79,0.58,0.59,0.66,0.69,0.75,0.62,0.66,0.72,2024,São Luís,Parda,Mulher Cisgênero,Licenciatura
250.065,0.58,0.09,0.52,0.66,0.78,0.44,0.62,0.69,0.68,0.75,0.75,0.6,2025,Petrolina,Branca,Mulher Cisgênero,Bacharelado
240.103,0.85,0.4,0.44,0.33,0.22,0.14,0.81,0.94,0.78,0.78,0.84,0.75,2024,Luziânia,Parda,Homem Cisgênero,Bacharelado
240.081,0.21,0.17,0.24,0.63,0.74,0.72,1.0,1.0,0.97,0.88,1.0,0.97,2024,Petrolina,Preta,Homem Cisgênero,Bacharelado
250.158,0.07,0.55,0.35,0.11,0.03,0.14,0.6,0.56,0.78,0.68,0.62,0.75,2025,Petrolina,Branca,Mulher Cisgênero,Bacharelado
250.072,0.87,0.79,0.36,0.18,0.46,0.16,0.53,0.53,0.53,0.68,0.53,0.69,2025,Caruaru,Branca,Mulher Cisgênero,Licenciatura
240.183,0.24,0.9,0.17,0.25,0.86,0.36,0.9,0.97,1.0,1.0,1.0,0.97,2024,Caruaru,Branca,Homem Cisgênero,Bacharelado
240.161,0.98,0.95,0.98,0.96,1.0,0.79,0.88,0.97,0.8,0.91,0.94,0.88,2024,Caruaru,Parda,Homem Cisgênero,Licenciatura
240.121,0.57,0.15,0.45,0.38,0.74,0.5,0.84,0.94,0.8,1.0,0.94,0.94,2024,Cuiabá,Branca,Mulher Cisgênero,Licenciatura
240.08,0.49,0.6,0.73,0.84,0.17,0.49,1.0,1.0,1.0,1.0,1.0,1.0,2024,Campo Grande,Branca,Homem Cisgênero,Bacharelado
250.143,0.13,0.24,0.19,0.14,0.43,0.07,1.0,1.0,1.0,1.0,0.97,1.0,2025,Cuiabá,Branca,Mulher Cisgênero,Bacharelado
250.089,0.29,0.26,0.67,0.39,0.74,0.95,0.97,1.0,1.0,0.94,1.0,1.0,2025,Cuiabá,Parda,Mulher Cisgênero,Licenciatura
240.03,0.41,0.86,0.8,0.43,0.81,0.42,0.78,0.63,0.63,0.69,0.6,0.6,2024,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Bacharelado
240.155,0.83,0.37,0.8,0.14,0.81,0.27,0.81,0.9,0.9,0.9,0.88,0.84,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado
240.01,0.95,0.99,0.66,0.25,0.81,0.79,0.62,0.6,0.5,0.47,0.72,0.72,2024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado e Licenciatura
240.071,0.47,0.62,0.48,0.16,0.49,0.8,0.88,0.88,0.96,0.9,0.9,0.84,2024,Vitória,Parda,Mulher Cisgênero,Licenciatura
240.131,0.91,0.95,0.95,0.99,0.55,0.99,0.6,0.68,0.53,0.84,0.88,0.72,2024,Campo Grande,Branca,Prefiro não informar,Licenciatura
250.027,0.64,0.52,0.81,0.42,0.9,0.86,0.97,1.0,0.97,1.0,0.97,1.0,2025,Vitória,Parda,Homem Cisgênero,Bacharelado
240.101,0.48,0.84,0.9,0.97,0.36,0.59,0.82,0.84,0.78,0.84,0.79,0.86,2024,Campo Grande,Parda,Homem Cisgênero,Bacharelado
250.105,0.7,0.97,0.47,0.75,0.22,0.94,0.62,0.63,0.62,0.53,0.53,0.68,2025,Cuiabá,Preta,Mulher Cisgênero,Licenciatura
240.092,0.89,0.24,0.06,0.55,0.07,0.82,0.91,0.84,0.88,0.66,0.82,0.78,2024,Caruaru,Branca,Mulher Cisgênero,Bacharelado e Licenciatura
250.063,0.39,0.65,0.48,0.79,0.03,0.62,0.88,0.94,0.88,0.91,0.88,0.97,2025,Cuiabá,Branca,Homem Cisgênero,Licenciatura
250.037,0.74,0.62,0.15,0.13,0.68,0.31,0.92,0.91,0.92,0.88,0.9,0.86,2025,Vitória,Preta,Mulher Cisgênero,Licenciatura
250.14,0.99,0.55,0.61,0.05,0.74,0.89,0.84,0.84,0.78,0.88,0.82,1.0,2025,Vitória,Preta,Homem Cisgênero,Licenciatura
250.082,0.37,0.4,0.23,0.65,0.06,0.75,0.78,0.84,0.84,0.88,0.88,0.75,2025,Petrolina,Branca,Homem Cisgênero,Bacharelado
240.143,0.38,0.73,0.39,0.32,0.17,0.56,0.91,0.94,0.9,1.0,0.88,0.78,2024,Petrolina,Preta,Mulher Cisgênero,Bacharelado
240.013,0.35,0.86,0.09,0.48,0.68,0.08,0.6,0.66,0.75,0.69,0.88,0.82,2024,Petrolina,Preta,Mulher Cisgênero,Licenciatura
240.156,0.74,0.17,0.18,0.42,0.46,0.08,0.72,0.75,0.72,0.75,0.72,0.66,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado
240.06,0.29,0.46,0.43,0.71,0.49,0.42,0.38,0.29,0.42,0.32,0.38,0.34,2024,Caruaru,Preta,Mulher Cisgênero,Bacharelado
250.129,0.36,0.09,0.74,0.54,0.34,0.66,0.96,0.81,0.97,0.81,0.81,0.94,2025,Vitória,Branca,Mulher Cisgênero,Bacharelado e Licenciatura
240.197,0.46,0.26,0.66,0.8,0.93,0.55,0.88,0.88,0.97,0.88,0.88,0.97,2024,Cuiabá,Branca,Mulher Cisgênero,Bacharelado e Licenciatura
250.081,0.69,0.55,0.53,0.27,0.63,0.98,0.84,1.0,0.94,0.88,0.81,0.75,2025,Petrolina,Branca,Homem Cisgênero,Licenciatura
250.164,0.15,0.52,0.29,0.3,0.17,0.19,0.78,0.82,0.9,0.84,0.84,0.94,2025,Luziânia,Preta,Mulher Cisgênero,Bacharelado
240.141,0.59,0.52,0.03,0.89,0.74,0.62,1.0,1.0,1.0,1.0,1.0,1.0,2024,Cuiabá,Preta,Homem Cisgênero,Licenciatura
240.176,0.34,0.24,0.44,0.28,0.49,0.59,0.84,0.91,0.82,0.88,0.84,1.0,2024,Cuiabá,Prefiro não informar,Homem Cisgênero,Licenciatura
250.006,0.35,0.06,0.71,0.71,0.55,0.76,0.97,1.0,0.97,0.94,0.88,1.0,2025,Cuiabá,Parda,Homem Cisgênero,Bacharelado
240.099,0.71,0.73,0.94,0.87,0.94,0.97,0.88,0.88,0.75,1.0,0.81,0.81,2024,Cuiabá,Parda,Homem Cisgênero,Licenciatura
240.205,0.53,0.52,0.84,0.65,0.22,0.78,0.78,0.88,0.94,0.94,0.79,0.88,2024,Águas Lindas de Goiás,Parda,Homem Cisgênero,Bacharelado
240.006,0.52,0.7,0.3,0.38,0.22,0.27,0.72,0.84,0.84,0.9,0.94,0.84,2024,Caruaru,Parda,Homem Cisgênero,Licenciatura
240.17,0.79,0.92,0.88,0.63,0.13,0.68,0.81,0.75,0.94,0.94,0.88,0.97,2024,Vitória,Branca,Mulher Cisgênero,Licenciatura
240.066,0.12,0.7,0.14,0.67,0.68,0.68,0.97,1.0,0.9,0.97,1.0,1.0,2024,Vitória,Preta,Mulher Cisgênero,Licenciatura
240.004,0.1,0.9,0.67,0.18,0.63,0.37,0.84,1.0,0.81,1.0,0.97,1.0,2024,Vitória,Sem Informação,Homem Cisgênero,Licenciatura
250.118,0.19,0.73,0.08,0.01,0.36,0.04,0.75,0.91,0.75,0.97,1.0,0.88,2025,Caruaru,Branca,Mulher Cisgênero,Licenciatura
250.084,0.86,0.09,0.4,0.74,0.36,0.71,0.6,0.66,0.62,0.66,0.6,0.91,2025,Vitória,Preta,Homem Cisgênero,Bacharelado
250.122,0.33,0.8,0.51,0.61,0.55,0.48,1.0,1.0,1.0,1.0,1.0,0.97,2025,Cuiabá,Branca,Mulher Cisgênero,Bacharelado e Licenciatura
240.087,0.56,0.17,0.25,0.37,0.17,0.45,0.72,0.84,0.66,0.88,0.68,0.9,2024,Vitória,Preta,Mulher Cisgênero,Bacharelado
240.055,0.18,0.02,0.12,0.06,0.86,0.83,0.66,0.81,0.82,0.84,0.72,0.78,2024,Campo Grande,Branca,Homem Cisgênero,Bacharelado
240.076,0.8,0.4,0.74,0.61,0.22,0.59,0.82,0.75,0.74,0.84,0.78,0.84,2024,Vitória,Branca,Homem Cisgênero,Bacharelado
250.093,0.89,0.95,0.2,0.31,0.06,0.12,1.0,0.94,0.97,0.9,0.94,1.0,2025,Cuiabá,Branca,Mulher Cisgênero,Licenciatura
240.149,0.31,0.26,0.68,0.33,0.43,0.72,0.84,0.97,1.0,0.9,0.94,1.0,2024,Caruaru,Preta,Mulher Cisgênero,Bacharelado
240.211,0.53,0.34,0.04,0.71,0.63,0.25,1.0,0.88,0.9,0.84,0.84,1.0,2024,Vitória,Prefiro não informar,Homem Cisgênero,Licenciatura
240.075,0.42,0.79,0.7,0.93,0.78,0.68,0.56,0.66,0.78,0.72,0.72,0.75,2024,Cuiabá,Branca,Mulher Cisgênero,Licenciatura
250.033,0.33,0.4,0.03,0.11,0.59,0.9,0.84,0.84,0.88,0.88,0.94,0.84,2025,Vitória,Branca,Mulher Cisgênero,Bacharelado
250.071,0.38,0.55,0.83,0.24,0.68,0.25,0.96,0.9,0.96,0.84,0.94,0.94,2025,Vitória,Preta,Homem Cisgênero,Licenciatura
240.031,0.84,0.92,0.99,0.86,0.95,0.99,0.84,0.94,0.97,1.0,1.0,1.0,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado
250.011,0.17,0.09,0.23,0.34,0.49,0.74,0.82,0.88,0.68,0.84,0.81,0.9,2025,Petrolina,Preta,Homem Cisgênero,Bacharelado
250.017,0.4,0.55,0.17,0.06,0.06,0.12,1.0,1.0,1.0,1.0,1.0,1.0,2025,Cuiabá,Branca,Homem Cisgênero,Bacharelado
240.105,0.2,0.65,0.86,0.94,0.81,0.57,0.97,1.0,0.94,1.0,1.0,0.84,2024,Vitória,Branca,Homem Cisgênero,Licenciatura
240.172,0.93,0.85,0.7,0.24,0.78,0.84,0.6,0.4,0.72,0.47,0.38,0.5,2024,Caruaru,Branca,Homem Cisgênero,Bacharelado
250.02,0.18,0.21,0.4,0.1,0.15,0.21,1.0,0.94,0.94,1.0,0.88,0.88,2025,Águas Lindas de Goiás,Parda,Mulher Cisgênero,Bacharelado
240.038,0.99,0.65,0.92,0.47,0.93,0.92,0.94,0.81,0.9,0.78,0.82,0.97,2024,Águas Lindas de Goiás,Prefiro não informar,Homem Cisgênero,Licenciatura
250.055,0.9,0.13,0.53,0.53,0.36,0.02,0.97,0.94,0.94,0.97,0.88,0.97,2025,Vitória,Branca,Mulher Cisgênero,Bacharelado
240.102,0.93,0.65,0.98,0.98,0.9,0.92,0.82,0.81,0.88,0.84,0.91,0.82,2024,Campo Grande,Parda,Homem Cisgênero,Licenciatura
240.132,0.05,0.09,0.09,0.03,0.09,0.2,0.97,1.0,0.97,0.9,0.97,0.94,2024,Vitória,Branca,Mulher Cisgênero,Bacharelado
250.152,0.76,0.46,0.96,0.47,0.88,0.92,0.84,0.88,0.84,0.68,0.88,0.84,2025,Petrolina,Branca,Mulher Cisgênero,Bacharelado
